Charge Description,Charge Price,$0 Charge Type,Per Minute Rate
1 25 DIHYDROXY INCLUDES FRACTIONS IF PERFORMED                                  ,$239.00 ,,
17-HYDROXYPREGNENOLONE                                                          ,$130.00 ,,
25 HYDROXY INCLUDES FRACTIONS IF PERFORMED                                      ,$260.00 ,,
3-D RADIOTHERAPY PLAN DOSE-VOLUME HISTOGRAMS                                    ,"$4,053.00 ",,
3D RENDERING W/INTERP & POSTPROCESS SUPERVISION                                 ,$134.00 ,,
3D RENDERING W/INTERP&POSTPROC DIFF WORK STATION                                ,$419.00 ,,
4VHPV VACCINE 3 DOSE SCHEDULE FOR IM USE                                        ,$638.10 ,,
5  DEX/NORM SALINE(500 ML 1UN),$0.00 ,Invoice-based charges,
9VHPV VACC 2/3 DOSE SCHED IM USE                                                ,$750.00 ,,
"ABCIXIMAB, 10 MG",$0.00 ,Invoice-based charges,
ABDOM PARACENTESIS DX/THER W/IMAGING GUIDANCE                                   ,"$4,331.00 ",,
ABDOM PARACENTESIS DX/THER W/O IMAGING GUIDANCE                                 ,"$3,760.00 ",,
ABL1 GENE ANALYSIS KINASE DOMAIN VARIANTS                                       ,$800.00 ,,
ABLATE L/R ATRIAL FIBRIL W/ISOLATED PULM VEIN                                   ,"$32,851.00 ",,
ABLATION 1/> LIVER TUMOR PERQ CRYOABLATION                                      ,"$14,741.00 ",,
ABLATION ARRHYTHMOGENIC FOCI/PATHWAY W/BYPASS                                   ,"$6,443.00 ",,
ABLATION ARRHYTHMOGENIC FOCI/PATHWAY W/O BYPASS                                 ,"$6,014.00 ",,
ABLATION BONE TUMOR RF PERQ W/IMG GDN WHEN DONE                                 ,"$5,213.00 ",,
ABLATION RENAL TUMOR UNILATERAL PERQ CRYOTHERAPY                                ,"$7,050.00 ",,
ABLATION THER 1+ PULM TUMORS PERQ CRYOABLATION                                  ,"$28,249.00 ",,
ABLATION THER 1+ PULM TUMORS PERQ RADIOFREQUENCY                                ,$347.00 ,,
ABLATJ BONE TUMOR CRYO PERQ W/IMG GDN WHEN PRFMD                                ,"$4,835.00 ",,
ABLTJ 1/> LVR TUM PRQ RF                                                        ,"$1,323.00 ",,
ABLTJ 1/> RENAL TUMOR PRQ UNI RADIOFREQUENCY                                    ,"$1,323.00 ",,
ABLTJ OPN 1/> LVR TUM RF                                                        ,"$1,902.00 ",,
ACETYLCYSTEINE INJ 100 MG,$0.00 ,Invoice-based charges,
"ACETYLCYSTEINE, INH SOL,U D",$0.00 ,Invoice-based charges,
ACNE SURGERY                                                                    ,$462.00 ,,
ACUP 1/> NDLS W/ELEC STIMJ EA 15 MIN W/RE-INSJ                                  ,$27.00 ,,
ACUPUNCTURE 1/> NDLES W/O ELEC STIMJ INIT 15 MIN                                ,$63.00 ,,
ACUPUNCTURE 1/> NDLS W/ELEC STIMJ 1ST 15 MIN                                    ,$63.00 ,,
ACUPUNCTURE 1/> NDLS W/O ELEC STIMJ EA 15 MIN                                   ,$27.00 ,,
ACUTE GASTROINTESTINAL BLOOD LOSS IMAGING                                       ,"$2,030.00 ",,
ACUTE VENOUS THROMBOSIS IMAGING PEPTIDE                                         ,"$1,459.00 ",,
ACYCLOVIR INJECTION 5 MG,$0.00 ,Invoice-based charges,
ACYLCARNITINES QUANTIATIVE EACH SPECIMEN                                        ,$89.00 ,,
"ADAPTER/EXTENSION, PACING LEAD OR NEUROSTIMULATOR LEAD                          ","$1,400.00 ",,
ADHESION BARRIER                                                                ,$514.00 ,,
ADJACENT TISSUE TRANSFER/REARGMT TRUNK 10 SQCM/<                                ,"$5,213.00 ",,
ADJNT TIS TRANSFR/REARRANGE TRUNK 10.1-30.0 SQCM                                ,"$7,907.00 ",,
ADJNT TIS TRNSFR/REARGMT ANY AREA 30.1-60 SQ CM                                 ,"$7,907.00 ",,
ADJT TIS REARGMT EYE/NOSE/EAR/LIP 10.1-30.0 SQCM                                ,"$7,907.00 ",,
ADJT TIS TRNS/REARGMT F/C/C/M/N/A/G/H/F 10SQCM/<                                ,"$5,213.00 ",,
ADJT TIS TRNSFR/REARGMT DEFEC EA ADDL 30 SQCM                                   ,"$7,584.00 ",,
