MASSACHUSETTS GENERAL HOSPITAL STANDARD CHARGES,,
Charges Effective: Oct-2018 (subject to change),,
* I.C. charges - prices vary based on individual consideration,,
Charge Code,Description,Charge
99900313,HC SP ACUPUNCTURE FOLLOW UP - LEVEL 2,$120.00
99900312,HC SP ACUPUNCTURE CONSULT - LEVEL 2,$210.00
99900297,HC ADMINISTRATIVE CLOSED ENCOUNTER,I.C.
99900293,HC SP PRIVATE ROOM DIFFERENTIAL,$300.00
99900199,HC SP ACUPUNCTURE FOLLOW UP,$100.00
99900198,HC SP ACUPUNCTURE CONSULT,$140.00
99900181,HCPR VIRPAY,$25.00
99900160,HCPR VIR PSYCH DIAGNOSTIC EVALUATION,$113.00
99900158,HCPR VIRTUAL VISIT PSYCHOTHERAPY WITH PATIENT & FAMILY EACH 15 MINS VIA VIDEO,$82.00
99900157,HCPR VIDEO VISIT PROVIDER TO NEW PATIENT,$82.00
99900033,HCPR ESTABLISHED PATIENT CONSULTING WITH PROVIDER VIA VIDEO,$850.00
99900003,HC LEFT WITHOUT BEING SEEN,I.C.
99000010,HC MGH TELEPHONE CALL,I.C.
99000002,HC GUEST TRAY,I.C.
99000001,HC R&B PRIVATE ROOM DIFFERENTIAL - PHILLIPS 22,$800.00
98500002,HCPR 12 LEAD ECG INTERPRETATION AND REPORT ONLY,$33.00
98301794,"HCPR INTRALESIONAL CHEMO ADMIN, 8+ LESN",$186.00
98301793,HCPR CAR-T OUTPATIENT INFUSION,$680.00
98301689,HCPR COLLATERAL CONTACT (15 MIN),$105.00
98301677,HCPR CHEMOTHERAPY ADMINISTRATION INTRALESIONAL,$122.00
98301674,HCPR ORTHOTICS MGMT & TRAINJ INITIAL ENCTR EA 15 MINS,$157.00
98301672,HCPR DIAGNOSTIC BONE MARROW BIOPSIES & ASPIRATIONS,$317.00
98301665,HCPR CAR T CELL INFUSION,$666.00
98301649,"HCPR GLUCOSE MONITOR, 72 HOUR, PHYS INTERP",$173.00
98301639,"HCPR PROLONGED SERV,NO CONTCT,EA ADD 30 MIN",$213.00
98301420,HCPR STRAPPING OF ELBOW OR WRIST,$77.00
98301345,"HCPR PURE TONE HEARING TEST, AIR",$52.00
98301337,HCPR  INTERPJ/EXPLNAJ RESULTS PSYCHIATRIC EXAM FAMILY,$298.00
98301336,HCPR REMOVAL IMPACTED CERUMEN IRRIGATION/LVG UNILAT,$55.00
98301334,HCPR CAREGIVER HLTH RISK ASSMT SCORE DOC STND INSTRM,$20.00
98301333,HCPR PT-FOCUSED HLTH RISK ASSMT SCORE DOC STND INSTRM,$20.00
98301331,HCPR NJX DX/THER SBST INTRLMNR LMBR/SAC W/IMG GDN,$451.00
98301330,HCPR NJX DX/THER SBST INTRLMNR LMBR/SAC W/O IMG GDN,$424.00
98301329,HCPR NJX DX/THER SBST INTRLMNR CRV/THRC W/IMG GDN,$491.00
98301328,HCPR NJX DX/THER SBST INTRLMNR CRV/THRC W/O IMG GDN,$428.00
98301327,HCPR NJX DX/THER SBST INTRLMNR LMBR/SAC W/IMG GDN,$472.00
98301326,HCPR NJX DX/THER SBST INTRLMNR LMBR/SAC W/O IMG GDN,$413.00
98301325,HCPR NJX DX/THER SBST INTRLMNR CRV/THRC W/IMG GDN,$516.00
98301324,HCPR NJX DX/THER SBST INTRLMNR CRV/THRC W/O IMG GDN,$479.00
98301323,HCPR CLSD TX PELVIC RING FX W/O MANIPULATION,$479.00
98301301,"HCPR PROLONGED SERV,NO CONTACT,1ST HR",$441.00
98301300,HCPR ANNUAL WELL VISIT INCLUDING PPPS SUBSEQ,$474.00
